BSE Code,Q_FY,id_resig_ct,id_unstated_flag,auditor_change_flag,credit_downgrade_ct
500510,Q2FY25,0,0,0,0
500510,Q3FY23,0,0,0,0
500510,Q3FY24,0,0,0,0
500510,Q3FY25,0,0,0,0
500510,Q4FY23,0,0,0,0
500510,Q4FY24,0,0,0,0
500510,Q4FY25,0,0,0,0
500520,Q1FY23,0,0,1,0
500520,Q1FY24,0,0,0,0
500520,Q1FY25,0,0,0,0
500520,Q2FY23,0,0,1,0
500520,Q2FY24,0,0,0,0
500520,Q2FY25,0,0,0,0
500520,Q3FY23,0,0,0,0
500520,Q3FY24,0,0,0,0
500520,Q3FY25,0,0,0,0
500520,Q4FY23,0,0,0,1
500520,Q4FY24,0,0,0,0
500520,Q4FY25,0,0,0,0
500530,Q1FY23,0,0,1,0
500530,Q1FY24,1,0,0,0
500530,Q1FY25,0,0,0,0
500530,Q2FY23,0,0,0,0
500530,Q2FY24,0,0,0,0
500530,Q2FY25,0,0,0,0
500530,Q3FY23,0,0,0,0
500530,Q3FY24,0,0,0,0
500530,Q3FY25,0,0,0,0
500530,Q4FY23,0,0,0,0
500530,Q4FY24,0,0,0,0
500530,Q4FY25,0,0,0,0
500570,Q1FY23,0,0,1,0
500570,Q1FY24,0,0,0,0
500570,Q1FY25,0,0,0,0
500570,Q2FY23,0,0,0,0
500570,Q2FY24,0,0,0,0
500570,Q2FY25,0,0,0,0
500570,Q3FY23,0,0,0,0
500570,Q3FY24,0,0,0,0
500570,Q3FY25,0,0,0,0
500570,Q4FY23,0,0,0,0
500570,Q4FY24,0,0,0,0
500570,Q4FY25,0,0,0,0
500645,Q1FY23,0,0,0,0
500645,Q1FY24,0,0,0,0
500645,Q1FY25,0,0,0,0
500645,Q2FY23,0,0,0,0
500645,Q2FY24,0,0,0,0
500645,Q2FY25,0,0,0,0
500645,Q3FY23,0,0,0,0
500645,Q3FY24,0,0,0,0
500645,Q3FY25,0,0,0,0
500645,Q4FY23,0,0,0,0
500645,Q4FY24,0,0,1,0
500645,Q4FY25,0,0,0,0
500710,Q1FY23,0,0,0,0
500710,Q1FY24,0,0,0,0
500710,Q1FY25,0,0,0,0
500710,Q2FY23,0,0,0,0
500710,Q2FY24,0,0,0,0
500710,Q2FY25,0,0,0,0
500710,Q3FY23,0,0,0,0
500710,Q3FY24,0,0,0,0
500710,Q3FY25,2,0,0,0
500710,Q4FY23,0,0,0,0
500710,Q4FY24,0,0,0,0
500710,Q4FY25,0,0,0,0
500790,Q1FY23,1,0,0,0
500790,Q1FY24,0,0,0,0
500790,Q1FY25,0,0,0,0
500790,Q2FY23,0,0,0,0
500790,Q2FY24,0,0,0,0
500790,Q2FY25,0,0,0,0
500790,Q3FY23,0,0,0,0
500790,Q3FY24,0,0,0,0
500790,Q3FY25,0,0,0,0
500790,Q4FY23,0,0,0,0
500790,Q4FY24,0,0,0,0
500790,Q4FY25,0,0,0,0
500800,Q1FY23,0,0,1,0
500800,Q1FY24,0,0,0,0
500800,Q1FY25,0,0,0,0
500800,Q2FY23,0,0,0,0
500800,Q2FY24,0,0,0,0
500800,Q2FY25,1,0,0,0
500800,Q3FY23,0,0,0,0
500800,Q3FY24,0,0,0,0
500800,Q3FY25,0,0,0,0
500800,Q4FY23,0,0,0,0
500800,Q4FY24,0,0,0,0
500800,Q4FY25,0,0,0,0
500830,Q1FY23,0,0,1,0
500830,Q1FY24,0,0,0,0
500830,Q1FY25,0,0,0,0
500830,Q2FY23,0,0,0,0
500830,Q2FY24,0,0,0,0
500830,Q2FY25,0,0,0,0
500830,Q3FY23,0,0,0,0
500830,Q3FY24,0,0,0,0
500830,Q3FY25,0,0,0,0
500830,Q4FY23,0,0,0,0
500830,Q4FY24,0,0,0,0
500830,Q4FY25,0,0,0,0
500850,Q1FY23,0,0,1,0
500850,Q1FY24,0,0,0,0
500850,Q1FY25,0,0,0,0
500850,Q2FY23,0,0,0,0
500850,Q2FY24,0,0,0,2
500850,Q2FY25,0,0,0,0
500850,Q3FY23,0,0,0,1
500850,Q3FY24,0,0,0,0
500850,Q3FY25,0,0,0,0
500850,Q4FY23,0,0,0,0
500850,Q4FY24,0,0,0,0
500850,Q4FY25,0,0,0,0
500877,Q1FY23,0,0,0,0
