NSE Symbol,Q_FY,FY,Filing_Date,Window_Start,Window_End,n_obs,alpha_daily,alpha_annual,t_alpha,p_alpha,r_squared,beta_Mkt_RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_MOM
HDFCAMC,Q4FY22,FY22,2022-07-21,2022-07-22,2023-07-28,252,-1.4342440118031191e-05,-0.0036077712077907977,-0.0077433322951117765,0.9938280777814462,0.04017959487269551,1.7514313573269682,0.17417621678564738,0.263421700434856,0.29372725620394147,1.218240567585474,0.6347866388070287
HDFCAMC,Q4FY23,FY23,2023-07-14,2023-07-17,2024-07-26,252,0.0008101988178355049,0.2265067670829573,0.4207333476640145,0.6743186210734211,0.007001325155377658,0.35125600181011263,-0.19767808282642488,0.5224477616673027,-0.4087955729396099,0.3424811490876478,-0.0017332213968128674
HDFCAMC,Q4FY24,FY24,2024-07-11,2024-07-12,2025-07-16,252,0.0014259780782821235,0.4323930050133686,0.6661107476721011,0.5059670222671465,0.02091535144438328,0.7370612693903198,-0.19460173980767254,-2.8367167925752135,-1.1500592267652723,-1.7999220558997613,0.05736766464573162
CREDITACC,Q4FY22,FY22,2022-07-12,2022-07-13,2023-07-19,252,-0.0004608579807670455,-0.10964606109934248,-0.2298137133533318,0.8184282810100865,0.019534772168137815,0.904329097678161,2.0149798566457573,-0.6536934501378949,-0.3841483382660742,0.18677616324914115,-0.3015645472026124
CREDITACC,Q4FY23,FY23,2023-07-11,2023-07-12,2024-07-23,252,-0.0005798131019208616,-0.1359398561679265,-0.2918226492210645,0.7706691701912162,0.022673108150283006,-0.6783405246617578,1.116668090855062,-0.3649881678504997,-2.818460482291708,-1.034577940116022,-0.9531030242434222
CREDITACC,Q4FY24,FY24,2024-07-18,2024-07-19,2025-07-22,252,0.001257735632923721,0.3729330716034279,0.3729845198692235,0.7094824546822617,0.024224502908341217,1.0264124757573931,-2.407168367727519,-3.58916734321744,-1.9216430144630998,0.22517342948864205,-1.1478673146592884
IRCON,Q4FY22,FY22,2022-07-11,2022-07-12,2023-07-18,252,0.00305187199058893,1.1577623628873033,1.0617638849804905,0.28938837934570827,0.022620757288386528,1.2690153138474218,-1.8842180231817436,0.9338822860649185,-0.44232585175954475,-2.555283618800484,0.305413163565679
IRCON,Q4FY23,FY23,2023-07-13,2023-07-14,2024-07-25,252,0.0009148884162025494,0.25929479891710056,0.25141597543092037,0.8017032672300214,0.018227710574582945,-0.11231962959448394,1.07956958170325,1.729880357969723,0.5608025345389,0.5161149227469268,1.7410707930731213
IRCON,Q4FY24,FY24,2024-07-11,2024-07-12,2025-07-16,252,0.0015871751980517071,0.49177718364560596,0.43848721979909444,0.6614195295007275,0.03835140962684891,0.6630487390576116,-2.9896087172568953,-10.056675460584637,-3.413370079351056,-0.6662664680964517,-0.45665836010014027
GRSE,Q4FY22,FY22,2022-07-11,2022-07-12,2023-07-18,252,0.004718575793762626,2.2840620958974585,1.4004520485541443,0.16264316283126118,0.011089367411048157,0.9494809838238226,-1.3495067057600263,-0.25508194636536463,-0.7691851891239442,-0.7690887421028987,0.37075546532197107
