BSE Code,FY,Industry,Sector,total_vol,idio_vol,downside_vol,max_drawdown,lag_total_vol,lag_idio_vol
532636.0,FY25,Credit Services,Financial Services,0.026874262038099117,0.024482518247276472,0.023241967035361567,0.24806150892770895,0.02613050617800578,0.021464129114016454
532648.0,FY25,Banks - Regional,Financial Services,0.01555100070719855,0.012728631720715472,0.007324363201684586,0.14393971009502715,0.022512136350462227,0.02011425887888139
532683.0,FY25,Specialty Industrial Machinery,Industrials,0.01713201630827177,0.01590964267479669,0.007994109992851817,0.09298395687952765,0.013973404180982913,0.01171273085918792
532714.0,FY25,Engineering & Construction,Industrials,0.02139822804523568,0.020044646408113802,0.014149162460738825,0.2813055131570832,0.030050501752495004,0.024723870778106543
532720.0,FY25,Credit Services,Financial Services,0.021046684709751465,0.019522921497900005,0.012569106602233407,0.13819202569825717,0.019588305783210618,0.015104243706081561
532725.0,FY25,Specialty Chemicals,Basic Materials,0.017168342002624615,0.01446378784825862,0.0072509871244398815,0.2365758754863817,0.021003133939293754,0.01826590941379422
532726.0,FY25,Steel,Basic Materials,0.033430668168416285,0.032918969134267194,0.027265045444055856,0.35252442734085354,0.03158436440831122,0.027236740485232003
532734.0,FY25,Steel,Basic Materials,0.0246778118662426,0.022544225158844407,0.011416476615618915,0.1997250470874613,0.027409765031213163,0.022327077327548992
532754.0,FY25,Airports & Air Services,Industrials,0.01614575850430948,0.013664889969077066,0.006606094211054974,0.1709964385440873,0.01707970588217772,0.014918505448498891
532777.0,FY25,Internet Content & Information,Communication Services,0.014853602656299179,0.013672477995231557,0.006594058579909169,0.15426353648339997,0.022968054267611067,0.017050600902621307
532783.0,FY25,Packaged Foods,Consumer Defensive,0.0188910161594223,0.0168767048011543,0.010047224683553553,0.3139642527614327,0.03050078578181028,0.02536896935541043
532784.0,FY25,Real Estate - Development,Real Estate,0.01815582800871845,0.01757468569469374,0.010026257741203668,0.17311307116282704,0.027690555041209475,0.022665664876571158
532805.0,FY25,Information Technology Services,Technology,0.030866995930058934,0.029933914749717495,0.013880878498457044,0.25136260407267286,0.03335927621981452,0.031401562819821836
532809.0,FY25,Information Technology Services,Technology,0.020067441183681048,0.018452847782243056,0.013257832559105415,0.18279427658562541,0.029472588993600977,0.02578832488988982
532810.0,FY25,Credit Services,Financial Services,0.014286180287523494,0.011137853736886331,0.005981231453256531,0.18481897981259687,0.021880738709321418,0.013522417372131714
532814.0,FY25,Banks - Regional,Financial Services,0.017024274749510324,0.01504040053324192,0.009160258405769436,0.13143851739651513,0.01866271273661393,0.01581588456106145
532822.0,FY25,Telecom Services,Communication Services,0.03593983656596763,0.03344944587343742,0.022084807855152776,0.23759506221171733,0.03258060639807611,0.028660632629793632
532830.0,FY25,Building Products & Equipment,Industrials,0.018266633701296973,0.015957898493889212,0.011853458517238801,0.18866983464677334,0.017983534828363075,0.014760808538928128
532868.0,FY25,Real Estate - Development,Real Estate,0.014368802033458297,0.009225015187415425,0.005322500117282666,0.2679352788302731,0.021896048360138646,0.01535995076331882
532889.0,FY25,Textile Manufacturing,Consumer Cyclical,0.020640478638365288,0.018923769033587882,0.010365631285075807,0.3100879445876229,0.026549184841814937,0.025789659306316867
532927.0,FY25,Information Technology Services,Technology,0.0263190280982254,0.025313031087055196,0.011802275154710544,0.1337523431469847,0.025061069944133128,0.021462992722570216
532929.0,FY25,Real Estate - Development,Real Estate,0.016522177954865533,0.014542022213670222,0.0076575293064793225,0.2947945176462953,0.023226728214208396,0.019739539736833504
532939.0,FY25,Utilities - Independent Power Producers,Utilities,0.03224064258825356,0.029868245018582915,0.019023018227250804,0.48654235101803334,0.03846709325984253,0.031370647012120695
532947.0,FY25,Infrastructure Operations,Industrials,0.013769943881280005,0.01147392145090965,0.0065332699660558885,0.1472321061257046,0.021533594945227913,0.01375776507230851
532953.0,FY25,Electrical Equipment & Parts,Industrials,0.012523856435300101,0.01206851347358792,0.007098490110888129,0.2501082757335955,0.015608974645001869,0.014002574175662153
533023.0,FY25,Auto Parts,Consumer Cyclical,0.019568880015489634,0.018530754880395368,0.008303558101879566,0.15889231508947743,0.023149578129204297,0.02161888830314817
533096.0,FY25,Utilities - Independent Power Producers,Utilities,0.028962401231282544,0.027751999291860608,0.015276876588667486,0.24793477955178478,0.02048342909524313,0.016092889655903515
533098.0,FY25,Utilities - Renewable,Utilities,0.013620036466746432,0.0110122563947077,0.005010578242068865,0.18591903212407623,0.0199903483610487,0.015400830782702785
533106.0,FY25,Oil & Gas Integrated,Energy,0.017497531775960633,0.016292467316112356,0.009417430300897195,0.11295461478131474,0.023397767841265914,0.018936254055777896
533155.0,FY25,Restaurants,Consumer Cyclical,0.014661620600309117,0.013346901115780069,0.006382176921632807,0.2547585208455341,0.02034062621032649,0.017103795468698214
533179.0,FY25,Information Technology Services,Technology,0.019108051502222674,0.016035997481163505,0.011842943903270713,0.1655131238304064,0.025816564449867217,0.021507896897575537
533206.0,FY25,Utilities - Renewable,Utilities,0.01689596562341807,0.015038014182138994,0.008931555298156769,0.3381600003838957,0.0229115497933102,0.015822991175897597
533273.0,FY25,Real Estate - Development,Real Estate,0.01647226862507342,0.013097307013866655,0.009347401290930799,0.20384097401016166,0.02338427624541178,0.016588176621628717
533274.0,FY25,Real Estate - Diversified,Real Estate,0.017226554258529266,0.013368304375831086,0.00924797463265447,0.24498528619918603,0.026590021411488092,0.021001131378001806
533293.0,FY25,Specialty Industrial Machinery,Industrials,0.0259105847416555,0.02402703428643562,0.010541571423692588,0.1963982661588728,0.028968309767387852,0.025886400641671962
533519.0,FY25,Credit Services,Financial Services,0.018548769102789995,0.016063660261810962,0.00746810637405755,0.09881359728726524,0.02105114636106187,0.01590271160692067
533573.0,FY25,Drug Manufacturers - Specialty & Generic,Healthcare,0.014105721264588759,0.01259666033044533,0.007590153906504261,0.22050398922848813,0.02604356279787061,0.02508252128375503
533581.0,FY25,Electronic Components,Technology,0.034235319776660084,0.031223419617246322,0.03270487193547231,0.41292270081618876,0.037844642310110733,0.030749561645389643
533655.0,FY25,Specialty Industrial Machinery,Industrials,0.01635176377544987,0.015196563267150019,0.013428918012473631,0.23390337965905417,0.033110204941288864,0.029930743073100185
534091.0,FY25,Financial Data & Stock Exchanges,Financial Services,0.02279229293498164,0.019044194904463067,0.012056883471911329,0.11380264016749952,0.0262298835325067,0.018960555092364464
534309.0,FY25,Engineering & Construction,Industrials,0.020716101750464497,0.01616512650366372,0.00696124044377113,0.21606206511568904,0.02635473981121959,0.01910136417032216
534816.0,FY25,Telecom Services,Communication Services,0.016699616947739557,0.014982853234536613,0.00817373372422448,0.0865398511826112,0.018903106291061872,0.01671620242745131
539083.0,FY25,Specialty Industrial Machinery,Industrials,0.018108335137983666,0.013934285759818728,0.007342897363447897,0.3596500299293126,0.03422216361895294,0.026521376186307805
539268.0,FY25,Diagnostics & Research,Healthcare,0.015131482394672966,0.012753324630724117,0.008211289984263173,0.18539991253267163,0.02023763138879695,0.017699208566457198
539437.0,FY25,Banks - Regional,Financial Services,0.014451238019101038,0.01260051726007718,0.006139750427391159,0.06718349685050107,0.021196729378020186,0.01769924014692898
539448.0,FY25,Airlines,Industrials,0.01666266848756405,0.014624446248578385,0.011001704932676616,0.26116258292643413,0.017626239354281245,0.015287664363250717
539523.0,FY25,Drug Manufacturers - Specialty & Generic,Healthcare,0.01189273956513327,0.010857837387186759,0.005049899368465316,0.05985624237322773,0.015313361585600914,0.013425858053659754
539524.0,FY25,Diagnostics & Research,Healthcare,0.016116471037260847,0.015733000288927858,0.007588916604904711,0.19850058510662583,0.01853310856827751,0.017809687224910286
