NSE Symbol,BSE Code,Industry,Sector,FY,Filing_Date,Window_Start,Window_End,n_obs,beta,total_vol,downside_vol
ANANDRATHI,543415,Asset Management,Financial Services,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.1270296029869874,0.016574194090870208,0.008541389570657754
MANYAVAR,543463,Apparel Manufacturing,Consumer Cyclical,FY23,2022-10-20,2022-10-21,2023-10-30,252,0.465157251366916,0.01575091212028076,0.008859887789575785
RAINBOW,543524,Medical Care Facilities,Healthcare,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.6651732538772785,0.022821084325428787,0.013079274709918771
DELHIVERY,543529,Integrated Freight & Logistics,Industrials,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.9535859985998221,0.02726126503229721,0.02403990835486477
PARADEEP,543530,Agricultural Inputs,Basic Materials,FY23,2022-10-20,2022-10-21,2023-10-30,252,1.226896843903488,0.022035412262603096,0.010841639831535712
SYRMA,543573,Electronic Components,Technology,FY23,2023-01-17,2023-01-18,2024-01-30,252,0.8646601590171572,0.024666322189718343,0.01606477710275359
PPLPHARMA,543635,Drug Manufacturers - Specialty & Generic,Healthcare,FY23,2023-04-19,2023-04-20,2024-05-02,252,1.2282707718568848,0.02221565114674259,0.01016329691734468
BIKAJI,543653,Packaged Foods,Consumer Defensive,FY23,2023-04-14,2023-04-17,2024-04-26,252,0.5725621785933396,0.017591616415211616,0.01050992235605818
MEDANTA,543654,Medical Care Facilities,Healthcare,FY23,2023-04-20,2023-04-21,2024-05-03,252,0.48636176857394414,0.019151229089652437,0.01071041317861211
FIVESTAR,543663,Credit Services,Financial Services,FY23,2023-04-21,2023-04-24,2024-05-06,252,0.8769020069777845,0.02133734834405725,0.011095584872249702
KAYNES,543664,Electronic Components,Technology,FY23,2023-04-20,2023-04-21,2024-05-03,252,0.8393119708571134,0.026075643112084382,0.013635141259809401
KFINTECH,543720,Software - Application,Technology,FY23,2023-04-18,2023-04-19,2024-04-30,252,0.8859327216971776,0.023522830989872952,0.01328087654515017
ABB,500002,Specialty Industrial Machinery,Industrials,FY24,2023-10-18,2023-10-19,2024-10-31,252,1.3285142189310124,0.023663823375840623,0.011767318259046321
ARE&M,500008,Electrical Equipment & Parts,Industrials,FY24,2023-10-17,2023-10-19,2024-10-29,246,1.5544338984334576,0.028795599744839754,0.010030992108063769
ATUL,500027,Specialty Chemicals,Basic Materials,FY24,2023-10-12,2023-10-13,2024-10-25,252,1.0866530468676343,0.0167617930743858,0.006887340363818961
FORCEMOT,500033,Auto Manufacturers,Consumer Cyclical,FY24,2023-10-13,2023-10-16,2024-10-28,211,1.4902663325910896,0.036438123146551364,0.013426228453146618
BAJFINANCE,500034,Credit Services,Financial Services,FY24,2023-10-17,2023-10-18,2024-10-30,252,0.901651356825873,0.016268729505491884,0.01042820757962607
ABREL,500040,Real Estate Services,Real Estate,FY24,2023-10-12,2023-10-13,2024-10-25,252,1.4753104952077036,0.030120945877198015,0.013808246644168378
