BSE Code,Q_FY,Category,Avg_Score
500034.0,Q3FY22,BINDEX,0.5614731707317073
500034.0,Q3FY22,DINDEX,0.45294117647058824
500034.0,Q3FY22,OINDEX,0.7794500000000001
500034.0,Q3FY22,TRINDEX,0.5856399999999999
500034.0,Q3FY23,AINDEX,0.5920624999999999
500034.0,Q3FY23,BINDEX,0.5374439024390244
500034.0,Q3FY23,DINDEX,0.45294117647058824
500034.0,Q3FY23,OINDEX,0.7794500000000001
500034.0,Q3FY23,TRINDEX,0.38564
500034.0,Q3FY24,AINDEX,0.5383249999999999
500034.0,Q3FY24,BINDEX,0.5295024390243903
500034.0,Q3FY24,DINDEX,0.45294117647058824
500034.0,Q3FY24,OINDEX,0.7794500000000001
500034.0,Q3FY24,TRINDEX,0.38564
500034.0,Q3FY25,AINDEX,0.5920624999999999
500034.0,Q3FY25,BINDEX,0.5400195121951219
500034.0,Q3FY25,DINDEX,0.45294117647058824
500034.0,Q3FY25,OINDEX,0.7794500000000001
500034.0,Q3FY25,TRINDEX,0.38564
500034.0,Q3FY26,AINDEX,0.4569375
500034.0,Q3FY26,BINDEX,0.39440000000000003
500034.0,Q3FY26,DINDEX,0.45294117647058824
500034.0,Q3FY26,OINDEX,0.7794500000000001
500034.0,Q3FY26,TRINDEX,0.5856399999999999
500034.0,Q4FY22,AINDEX,0.3751625
500034.0,Q4FY22,BINDEX,0.5785463414634147
500034.0,Q4FY22,DINDEX,0.45294117647058824
500034.0,Q4FY22,OINDEX,0.7794500000000001
500034.0,Q4FY22,TRINDEX,0.5856399999999999
500034.0,Q4FY23,AINDEX,0.5001625
500034.0,Q4FY23,BINDEX,0.5512682926829269
500034.0,Q4FY23,DINDEX,0.45294117647058824
500034.0,Q4FY23,OINDEX,0.7794500000000001
500034.0,Q4FY23,TRINDEX,0.48563999999999996
500034.0,Q4FY24,AINDEX,0.563125
500034.0,Q4FY24,BINDEX,0.5735024390243902
500034.0,Q4FY24,DINDEX,0.45294117647058824
500034.0,Q4FY24,OINDEX,0.7794500000000001
500034.0,Q4FY24,TRINDEX,0.5856399999999999
500034.0,Q4FY25,AINDEX,0.651775
500034.0,Q4FY25,BINDEX,0.5700000000000001
500034.0,Q4FY25,DINDEX,0.45294117647058824
500034.0,Q4FY25,OINDEX,0.7794500000000001
500034.0,Q4FY25,TRINDEX,0.5856399999999999
500040.0,Q1FY26,AINDEX,0.593225
500040.0,Q1FY26,BINDEX,0.6218048780487805
500040.0,Q1FY26,DINDEX,0.058823529411764705
500040.0,Q1FY26,OINDEX,0.7697166666666666
500040.0,Q1FY26,TRINDEX,0.41701999999999995
500040.0,Q2FY25,AINDEX,0.5197
500040.0,Q2FY25,BINDEX,0.6139902439024391
500040.0,Q2FY25,DINDEX,0.058823529411764705
500040.0,Q2FY25,OINDEX,0.7697166666666666
500040.0,Q2FY25,TRINDEX,0.51702
500040.0,Q2FY26,AINDEX,0.6544
500040.0,Q2FY26,BINDEX,0.4161073170731708
500040.0,Q2FY26,DINDEX,0.058823529411764705
500040.0,Q2FY26,OINDEX,0.7697166666666666
500040.0,Q2FY26,TRINDEX,0.51702
500040.0,Q3FY26,AINDEX,0.5302625
500040.0,Q3FY26,BINDEX,0.6161073170731708
500040.0,Q3FY26,DINDEX,0.058823529411764705
500040.0,Q3FY26,OINDEX,0.7697166666666666
500040.0,Q3FY26,TRINDEX,0.31702
500040.0,Q4FY25,AINDEX,0.5389999999999999
500040.0,Q4FY25,BINDEX,0.6617658536585366
500040.0,Q4FY25,DINDEX,0.058823529411764705
500040.0,Q4FY25,OINDEX,0.7697166666666666
500040.0,Q4FY25,TRINDEX,0.31702
500042.0,Q1FY23,AINDEX,0.3319375
500042.0,Q1FY23,BINDEX,0.5918439024390244
500042.0,Q1FY23,DINDEX,0.029411764705882353
500042.0,Q1FY23,OINDEX,0.5092833333333333
500042.0,Q1FY23,TRINDEX,0.8178799999999999
500042.0,Q1FY24,AINDEX,0.4569375
500042.0,Q1FY24,BINDEX,0.5868390243902438
500042.0,Q1FY24,DINDEX,0.029411764705882353
500042.0,Q1FY24,OINDEX,0.5092833333333333
500042.0,Q1FY24,TRINDEX,0.8178799999999999
500042.0,Q1FY25,AINDEX,0.465025
500042.0,Q1FY25,BINDEX,0.6782829268292683
500042.0,Q1FY25,DINDEX,0.029411764705882353
500042.0,Q1FY25,OINDEX,0.5092833333333333
500042.0,Q1FY25,TRINDEX,0.8178799999999999
500042.0,Q1FY26,AINDEX,0.43262500000000004
500042.0,Q1FY26,BINDEX,0.7027414634146342
500042.0,Q1FY26,DINDEX,0.029411764705882353
500042.0,Q1FY26,OINDEX,0.5092833333333333
500042.0,Q1FY26,TRINDEX,0.8178799999999999
500042.0,Q2FY23,AINDEX,0.3782125
500042.0,Q2FY23,BINDEX,0.5986536585365854
500042.0,Q2FY23,DINDEX,0.029411764705882353
500042.0,Q2FY23,OINDEX,0.5092833333333333
500042.0,Q2FY23,TRINDEX,0.71788
500042.0,Q2FY24,AINDEX,0.4569375
500042.0,Q2FY24,BINDEX,0.6132878048780488
500042.0,Q2FY24,DINDEX,0.029411764705882353
500042.0,Q2FY24,OINDEX,0.5092833333333333
500042.0,Q2FY24,TRINDEX,0.71788
500042.0,Q2FY25,AINDEX,0.5001625
500042.0,Q2FY25,BINDEX,0.6739414634146341
500042.0,Q2FY25,DINDEX,0.029411764705882353
500042.0,Q2FY25,OINDEX,0.5092833333333333
500042.0,Q2FY25,TRINDEX,0.71788
500042.0,Q2FY26,AINDEX,0.465025
500042.0,Q2FY26,BINDEX,0.7081658536585366
500042.0,Q2FY26,DINDEX,0.029411764705882353
500042.0,Q2FY26,OINDEX,0.5092833333333333
500042.0,Q2FY26,TRINDEX,0.71788
500042.0,Q3FY22,AINDEX,0.375
500042.0,Q3FY22,BINDEX,0.6031219512195123
500042.0,Q3FY22,DINDEX,0.029411764705882353
500042.0,Q3FY22,OINDEX,0.5092833333333333
500042.0,Q3FY22,TRINDEX,0.8178799999999999
500042.0,Q3FY23,AINDEX,0.4569375
500042.0,Q3FY23,BINDEX,0.6336097560975609
500042.0,Q3FY23,DINDEX,0.029411764705882353
500042.0,Q3FY23,OINDEX,0.5092833333333333
500042.0,Q3FY23,TRINDEX,0.71788
500042.0,Q3FY24,AINDEX,0.4569375
500042.0,Q3FY24,BINDEX,0.6311707317073171
500042.0,Q3FY24,DINDEX,0.029411764705882353
500042.0,Q3FY24,OINDEX,0.5092833333333333
500042.0,Q3FY24,TRINDEX,0.61788
500042.0,Q3FY25,AINDEX,0.4589625
500042.0,Q3FY25,BINDEX,0.703209756097561
500042.0,Q3FY25,DINDEX,0.029411764705882353
500042.0,Q3FY25,OINDEX,0.5092833333333333
500042.0,Q3FY25,TRINDEX,0.71788
500042.0,Q4FY22,AINDEX,0.3319375
500042.0,Q4FY22,BINDEX,0.6258926829268293
500042.0,Q4FY22,DINDEX,0.029411764705882353
500042.0,Q4FY22,OINDEX,0.5092833333333333
500042.0,Q4FY22,TRINDEX,0.8178799999999999
500042.0,Q4FY23,AINDEX,0.446425
500042.0,Q4FY23,BINDEX,0.5806048780487805
500042.0,Q4FY23,DINDEX,0.029411764705882353
500042.0,Q4FY23,OINDEX,0.5092833333333333
500042.0,Q4FY23,TRINDEX,0.8178799999999999
500042.0,Q4FY24,AINDEX,0.465025
500042.0,Q4FY24,BINDEX,0.6329463414634146
500042.0,Q4FY24,DINDEX,0.029411764705882353
500042.0,Q4FY24,OINDEX,0.5092833333333333
500042.0,Q4FY24,TRINDEX,0.8178799999999999
500042.0,Q4FY25,AINDEX,0.446425
500042.0,Q4FY25,BINDEX,0.7217073170731707
500042.0,Q4FY25,DINDEX,0.029411764705882353
500042.0,Q4FY25,OINDEX,0.5092833333333333
500042.0,Q4FY25,TRINDEX,0.8178799999999999
500043.0,Q1FY22,AINDEX,0.4696125
