NSE Symbol,BSE Code,Industry,Sector,FY,Filing_Date,Window_Start,Window_End,n_trading_days,cum_return,cum_mkt_return,mar_log,mar_pct,iar_pct,sar_pct
RELIANCE,500325,Oil & Gas Refining & Marketing,Energy,FY25,2024-10-15,2024-10-16,2025-10-23,252,0.07724984369703386,0.0008510881305343116,0.07356062625898199,0.076333788784906,0.13215290063447596,0.1471488611779632
PATANJALI,500368,Packaged Foods,Consumer Defensive,FY25,2024-10-18,2024-10-21,2025-10-28,252,0.0020178576200581932,0.01586350129873997,-0.013723166535256417,-0.01362943314823368,0.014999105546474645,0.08906705981529783
SHREECEM,500387,Building Materials,Basic Materials,FY25,2024-10-11,2024-10-14,2025-10-20,252,0.21893932749833855,0.004440663216687299,0.19355024434057874,0.21355035905727526,0.049526229849888165,0.16713234289169043
TATAPOWER,500400,Utilities - Independent Power Producers,Utilities,FY25,2024-10-16,2024-10-17,2025-10-24,252,-0.1421218088409302,0.0005681212060113779,-0.1538611178049624,-0.14260891090049282,-0.18622745027302762,-0.08809394325025535
SUNDRMFAST,500403,Auto Parts,Consumer Cyclical,FY25,2024-10-15,2024-10-16,2025-10-23,252,-0.3101281040100361,0.0008510881305343116,-0.37210008277336454,-0.3107147465078356,-0.3227831041138465,-0.3453527053725685
TATAELXSI,500408,Software - Application,Technology,FY25,2024-10-08,2024-10-09,2025-10-15,252,-0.2805492764340298,-0.00575017032957599,-0.32350047584323394,-0.27638838640339003,-0.18113132909713314,-0.32129643004162856
ACC,500410,Building Materials,Basic Materials,FY25,2024-10-18,2024-10-21,2025-10-28,252,-0.18025831013424723,0.01586350129873997,-0.2145049917247177,-0.1930592163044085,-0.3496714077826976,-0.23206529474089535
THERMAX,500411,Conglomerates,Industrials,FY25,2024-10-14,2024-10-15,2025-10-21,252,-0.35334018640523074,0.0013549276644787519,-0.43728892376117673,-0.3542151781256887,-0.30563271847214757,-0.2533647862264159
TORNTPHARM,500420,Drug Manufacturers - Specialty & Generic,Healthcare,FY25,2024-10-16,2024-10-17,2025-10-24,252,0.030438900788346233,0.0005681212060113779,0.029416868863346532,0.02985381899468355,0.09914755005296222,0.051181244789080566
AMBUJACEM,500425,Building Materials,Basic Materials,FY25,2024-10-18,2024-10-21,2025-10-28,252,-0.01294570059353036,0.01586350129873997,-0.028769217480908285,-0.0283593237235504,-0.18235879824198076,-0.06475268520017848
PGHH,500459,Household & Personal Products,Consumer Defensive,FY25,2024-10-20,2024-10-21,2025-10-28,252,-0.15512288787463213,0.01586350129873997,-0.18430308265350964,-0.1683163032777268,-0.04364501533119801,-0.0680736856793925
FEDERALBNK,500469,Banks - Regional,Financial Services,FY25,2024-10-09,2024-10-10,2025-10-16,252,0.1780005521281269,-0.0015169252325268464,0.1653366308573293,0.17979020566018086,-0.017953674013485854,0.035052477674019006
TATASTEEL,500470,Steel,Basic Materials,FY25,2024-10-17,2024-10-18,2025-10-27,252,0.21244410188422613,0.01984430810732826,0.1729882646928274,0.18885215345696543,0.11637979334169933,0.160637117277578
BAJAJHLDNG,500490,Asset Management,Financial Services,FY25,2024-10-15,2024-10-16,2025-10-23,252,0.22018233474788987,0.0008510881305343116,0.19814957612891182,0.21914473513441357,-0.03785594671564976,0.07723426029378197
BHARATFORG,500493,Auto Parts,Consumer Cyclical,FY25,2024-10-21,2024-10-22,2025-10-29,252,-0.03889958339797636,0.029623994524626215,-0.0688700654228056,-0.06655204063522205,-0.051554583501786745,-0.07412418476050878
ESCORTS,500495,Farm & Heavy Construction Machinery,Industrials,FY25,2024-10-17,2024-10-18,2025-10-27,252,0.03352298759528187,0.01984430810732826,0.013323365829597783,0.013412517360948069,0.0,0.13349838777409667
LT,500510,Engineering & Construction,Industrials,FY25,2024-10-18,2024-10-21,2025-10-28,252,0.14081181426523212,0.01586350129873997,0.11600113573214392,0.12299714755648848,0.22733719881123238,0.24078721444404694
M&M,500520,Auto Manufacturers,Consumer Cyclical,FY25,2024-10-17,2024-10-18,2025-10-27,252,0.16434369940372062,0.01984430810732826,0.13250760359097857,0.14168769698245479,-0.07270313713609985,0.1291190980411882
BOSCHLTD,500530,Auto Parts,Consumer Cyclical,FY25,2024-10-18,2024-10-21,2025-10-28,252,0.06506462186165798,0.01586350129873997,0.0472964841097127,0.04843280667138488,0.0524096217578476,0.02984002049912557
BPCL,500547,Oil & Gas Refining & Marketing,Energy,FY25,2024-10-16,2024-10-17,2025-10-24,252,-0.013616430030957883,0.0005681212060113779,-0.014277943717156405,-0.01417649726824421,0.041286626906484214,0.05628258744997145
VOLTAS,500575,"Furnishings, Fixtures & Appliances",Consumer Cyclical,FY25,2024-10-18,2024-10-21,2025-10-28,252,-0.2815032165814438,0.01586350129873997,-0.3463330412892003,-0.2927231045312806,0.0,-0.3167278179439762
GESHIP,500620,Marine Shipping,Industrials,FY25,2024-10-10,2024-10-11,2025-10-17,252,-0.18365719662943844,-4.221067047317127e-06,-0.20291668899047846,-0.18365375077718665,0.0,-0.08368179645062362
DEEPAKFERT,500645,Chemicals,Basic Materials,FY25,2024-10-21,2024-10-22,2025-10-29,252,0.5026228920588436,0.029623994524626215,0.3780184940685842,0.4593899326837263,0.37487220379428116,0.45081590745219546
HINDUNILVR,500696,Household & Personal Products,Consumer Defensive,FY25,2024-10-21,2024-10-22,2025-10-29,252,-0.06783285721223611,0.029623994524626215,-0.09943682435410459,-0.09465285604756891,0.04364501533119801,0.019216344983003522
