NSE Symbol,BSE Code,Industry,Sector,FY,FY_End,net_income,equity,roe,CG_Filing_Date
CHALET,542399,Lodging,Consumer Cyclical,FY23,2023-03-31,1833320000.0,15419390000.0,0.11889705105065765,2022-10-20
CHALET,542399,Lodging,Consumer Cyclical,FY24,2024-03-31,2781650000.0,18513420000.0,0.15025046695856303,2023-10-20
CHALET,542399,Lodging,Consumer Cyclical,FY25,2025-03-31,1425650000.0,30462470000.0,0.046800210225894354,2024-10-18
CHAMBLFERT,500085,Agricultural Inputs,Basic Materials,FY23,2023-03-31,10342200000.0,70681100000.0,0.146322001213903,2022-10-20
CHAMBLFERT,500085,Agricultural Inputs,Basic Materials,FY24,2024-03-31,12758000000.0,72735500000.0,0.1754026575743619,2023-10-19
CHAMBLFERT,500085,Agricultural Inputs,Basic Materials,FY25,2025-03-31,16495100000.0,87280200000.0,0.18899017188319917,2024-10-18
CHOLAHLDNG,504973,Credit Services,Financial Services,FY23,2023-03-31,12902300000.0,160490400000.0,0.08039297054527872,2022-10-13
CHOLAHLDNG,504973,Credit Services,Financial Services,FY24,2024-03-31,17725200000.0,102417300000.0,0.17306841715218035,2023-10-05
CHOLAHLDNG,504973,Credit Services,Financial Services,FY25,2025-03-31,21736600000.0,125152800000.0,0.17368049296539909,2024-10-15
CHOLAFIN,511243,Credit Services,Financial Services,FY23,2023-03-31,26648500000.0,143461000000.0,0.185754316504137,2022-10-21
CHOLAFIN,511243,Credit Services,Financial Services,FY24,2024-03-31,34200600000.0,195932400000.0,0.17455306013706767,2023-10-18
CHOLAFIN,511243,Credit Services,Financial Services,FY25,2025-03-31,42627200000.0,236686900000.0,0.18009953233575665,2024-10-21
CUB,532210,Banks - Regional,Financial Services,FY23,2023-03-31,9374795000.0,74572102000.0,0.1257145064785756,2022-10-14
CUB,532210,Banks - Regional,Financial Services,FY24,2024-03-31,10157309000.0,84014315000.0,0.12089974190707857,2023-10-17
CUB,532210,Banks - Regional,Financial Services,FY25,2025-03-31,11236263000.0,94666172000.0,0.11869353922962048,2024-10-16
COCHINSHIP,540678,Aerospace & Defense,Industrials,FY23,2023-03-31,3047091000.0,44276464000.0,0.06881965551720662,2022-10-14
COCHINSHIP,540678,Aerospace & Defense,Industrials,FY24,2024-03-31,7832778000.0,50033367000.0,0.15655108719746963,2023-10-11
COCHINSHIP,540678,Aerospace & Defense,Industrials,FY25,2025-03-31,8273305000.0,55792603000.0,0.1482867719937713,2024-10-16
COFORGE,532541,Information Technology Services,Technology,FY23,2023-03-31,6938000000.0,30825000000.0,0.22507704785077048,2022-10-18
COFORGE,532541,Information Technology Services,Technology,FY24,2024-03-31,8080000000.0,36266000000.0,0.22279821320244858,2023-10-21
COFORGE,532541,Information Technology Services,Technology,FY25,2025-03-31,8121000000.0,63792000000.0,0.1273043641835967,2024-10-15
CRAFTSMAN,543276,Auto Parts,Consumer Cyclical,FY23,2023-03-31,2483900000.0,13769000000.0,0.18039799549713123,2022-10-14
CRAFTSMAN,543276,Auto Parts,Consumer Cyclical,FY24,2024-03-31,3044700000.0,16579800000.0,0.1836391271306047,2023-10-18
CRAFTSMAN,543276,Auto Parts,Consumer Cyclical,FY25,2025-03-31,1945700000.0,28567400000.0,0.06810910338357709,2024-10-21
CRISIL,500092,Financial Data & Stock Exchanges,Financial Services,FY23,2023-03-31,5643900000.0,17919800000.0,0.3149532918894184,2022-10-17
CRISIL,500092,Financial Data & Stock Exchanges,Financial Services,FY24,2024-03-31,6584400000.0,21892600000.0,0.30075916062961916,2023-10-19
CRISIL,500092,Financial Data & Stock Exchanges,Financial Services,FY25,2025-03-31,6840700000.0,25648200000.0,0.2667126737938725,2024-10-18
CGCL,531595,Credit Services,Financial Services,FY23,2023-03-31,2046540000.0,35654660000.0,0.05739894869282164,2022-10-18
CGCL,531595,Credit Services,Financial Services,FY24,2024-03-31,2794060000.0,38365700000.0,0.0728270303943366,2023-10-17
CGCL,531595,Credit Services,Financial Services,FY25,2025-03-31,4785330000.0,43040970000.0,0.11118081214247727,2024-10-15
CASTROLIND,500870,Oil & Gas Refining & Marketing,Energy,FY23,2023-03-31,8151500000.0,18860300000.0,0.43220415369850956,2023-04-19
CASTROLIND,500870,Oil & Gas Refining & Marketing,Energy,FY24,2024-03-31,8641300000.0,21216900000.0,0.4072838162031211,2023-10-10
CASTROLIND,500870,Oil & Gas Refining & Marketing,Energy,FY25,2025-03-31,9272300000.0,22783700000.0,0.40697077296488277,2024-10-14
COLPAL,500830,Household & Personal Products,Consumer Defensive,FY23,2023-03-31,10471465000.0,17163843000.0,0.6100886031176118,2022-10-19
COLPAL,500830,Household & Personal Products,Consumer Defensive,FY24,2024-03-31,13236600000.0,18743600000.0,0.7061930472267868,2023-10-13
COLPAL,500830,Household & Personal Products,Consumer Defensive,FY25,2025-03-31,14368100000.0,16644700000.0,0.8632237288746568,2024-10-16
CONCOR,531344,Railroads,Industrials,FY23,2023-03-31,11739500000.0,112262900000.0,0.10457150135975465,2022-10-20
CONCOR,531344,Railroads,Industrials,FY24,2024-03-31,12469500000.0,118265200000.0,0.1054367641537832,2023-10-19
CONCOR,531344,Railroads,Industrials,FY25,2025-03-31,12887500000.0,123801900000.0,0.10409775617337053,2024-10-18
CREDITACC,541770,Credit Services,Financial Services,FY23,2023-03-31,8260600000.0,51069700000.0,0.16175148865178374,2022-10-07
CREDITACC,541770,Credit Services,Financial Services,FY24,2024-03-31,14459300000.0,65699800000.0,0.22008133966922275,2023-10-06
CREDITACC,541770,Credit Services,Financial Services,FY25,2025-03-31,5314000000.0,69559700000.0,0.07639480906329384,2024-10-17
DALBHARAT,542216,Building Materials,Basic Materials,FY23,2023-03-31,10350000000.0,156280000000.0,0.06622728436140261,2022-10-13
DALBHARAT,542216,Building Materials,Basic Materials,FY24,2024-03-31,8260000000.0,163970000000.0,0.05037506861011161,2023-10-18
DALBHARAT,542216,Building Materials,Basic Materials,FY25,2025-03-31,6830000000.0,173740000000.0,0.0393116150569817,2024-10-19
DELHIVERY,543529,Integrated Freight & Logistics,Industrials,FY23,2023-03-31,-10077790000.0,91771370000.0,-0.10981409561609465,2022-10-18
DELHIVERY,543529,Integrated Freight & Logistics,Industrials,FY24,2024-03-31,-2491860000.0,91446460000.0,-0.027249387237078395,2023-10-20
DELHIVERY,543529,Integrated Freight & Logistics,Industrials,FY25,2025-03-31,1621100000.0,94321510000.0,0.017186959793158527,2024-10-17
DEVYANI,543330,Restaurants,Consumer Cyclical,FY23,2023-03-31,2649970000.0,9703460000.0,0.27309537010509655,2022-10-14
DEVYANI,543330,Restaurants,Consumer Cyclical,FY24,2024-03-31,472630000.0,10557630000.0,0.044766675854334734,2023-10-17
DEVYANI,543330,Restaurants,Consumer Cyclical,FY25,2025-03-31,91490000.0,10944060000.0,0.008359786039184726,2024-10-16
DIXON,540699,Consumer Electronics,Technology,FY23,2023-03-31,2555200000.0,12849100000.0,0.19886217711746348,2022-10-13
